ego_id,n,seed,complete_pivot_best_cost,complete_pivot_average_cost,complete_ilp_cost,complete_lp_cost,p_delete,edge_pivot_best_cost,edge_pivot_average_cost,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,complete_min_max_cc_computed,complete_min_max_cc_cluster_count,complete_min_max_cc_max_disagreement,complete_min_max_cc_d_hat,complete_min_max_cc_lambda,complete_min_max_cc_runtime_seconds,complete_min_max_lp_computed,complete_min_max_lp_cost,complete_min_max_lp_rounding_cost,complete_min_max_lp_max_disagreement_vertex,complete_min_max_lp_cluster_count,complete_min_max_lp_r,complete_min_max_lp_r2,complete_min_max_lp_method,complete_min_max_lp_norm,complete_min_max_lp_runtime_seconds,complete_min_max_lp_rounding_runtime_seconds,complete_min_max_lp_total_runtime_seconds,edge_min_max_cc_computed,edge_min_max_cc_cluster_count,edge_min_max_cc_max_disagreement,edge_min_max_cc_d_hat,edge_min_max_cc_lambda,edge_min_max_cc_runtime_seconds,edge_min_max_lp_computed,edge_min_max_lp_cost,edge_min_max_lp_rounding_cost,edge_min_max_lp_max_disagreement_vertex,edge_min_max_lp_cluster_count,edge_min_max_lp_r,edge_min_max_lp_r2,edge_min_max_lp_method,edge_min_max_lp_norm,edge_min_max_lp_runtime_seconds,edge_min_max_lp_rounding_runtime_seconds,edge_min_max_lp_total_runtime_seconds
0,342,1,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,284,61,8,5,0.025316,,,,,,,,,,,,
0,342,2,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,283,59,8,5,0.024573,,,,,,,,,,,,
0,342,3,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,284,57,8,5,0.024934,,,,,,,,,,,,
0,342,4,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,58,8,5,0.024712,,,,,,,,,,,,
0,342,5,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,59,8,5,0.027838,,,,,,,,,,,,
0,342,6,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,55,8,5,0.025018,,,,,,,,,,,,
0,342,7,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,284,59,8,5,0.024265,,,,,,,,,,,,
0,342,8,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,56,8,5,0.024497,,,,,,,,,,,,
0,342,9,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,285,60,8,5,0.025405,,,,,,,,,,,,
0,342,10,,,,,0.05,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,287,57,8,5,0.025332,,,,,,,,,,,,
