graph_family,file_name,n,seed,p_delete_num,complete_lp_gap,edge_lp_gap,complete_lp_ratio,edge_lp_ratio_with4,complete_bad_triangle_density,edge_bad_triangle_density
random,random_n10_p02.json,10,47,0.05,0.16666666666666663,0.33333333333333337,0.8333333333333334,0.6666666666666666,0.058333333333333334,0.05
random,random_n30_p03.json,30,42,0.05,0.33168316831683164,0.33139534883720934,0.6683168316831684,0.6686046511627907,0.21083743842364533,0.15073891625615762
random,random_n30_p03.json,30,41,0.05,0.32065217391304346,0.323170731707317,0.6793478260869565,0.676829268292683,0.17955665024630543,0.14310344827586208
random,random_n30_p04.json,30,39,0.05,0.3223140495867769,0.3173076923076923,0.6776859504132231,0.6826923076923077,0.27610837438423647,0.2120689655172414
random,random_n30_p04.json,30,16,0.05,0.30833333333333335,0.31481481481481477,0.6916666666666667,0.6851851851851852,0.27364532019704435,0.21502463054187193
random,random_n30_p03.json,30,5,0.05,0.33009708737864074,0.3109756097560976,0.6699029126213593,0.6890243902439024,0.21354679802955664,0.14113300492610836
random,random_n30_p04.json,30,26,0.05,0.31854838709677424,0.31081081081081086,0.6814516129032258,0.6891891891891891,0.28497536945812807,0.23177339901477834
random,random_n30_p04.json,30,42,0.05,0.32421875,0.31081081081081086,0.67578125,0.6891891891891891,0.29630541871921184,0.23201970443349754
random,random_n30_p04.json,30,13,0.05,0.31999999999999995,0.30841121495327106,0.68,0.6915887850467289,0.287192118226601,0.21674876847290642
random,random_n30_p02.json,30,42,0.05,0.32191780821917804,0.3070175438596491,0.678082191780822,0.6929824561403509,0.13226600985221676,0.08300492610837439
random,random_n30_p03.json,30,29,0.05,0.30319148936170215,0.30487804878048785,0.6968085106382979,0.6951219512195121,0.18694581280788178,0.14261083743842365
random,random_n30_p04.json,30,29,0.05,0.303030303030303,0.3041666666666667,0.696969696969697,0.6958333333333333,0.31305418719211825,0.2613300492610837
