graph_family,bad4_count_p0.05,bad4_count_p0.15,bad4_count_p0.25,bad4_count_p0.40,cost_changed_p0.05,cost_changed_p0.15,cost_changed_p0.25,cost_changed_p0.40,clustering_changed_p0.05,clustering_changed_p0.15,clustering_changed_p0.25,clustering_changed_p0.40,same_cost_diff_clustering_p0.05,same_cost_diff_clustering_p0.15,same_cost_diff_clustering_p0.25,same_cost_diff_clustering_p0.40
clique,83.04692737430167,481.5731843575419,795.5899441340782,821.8,0.0,0.00558659217877095,0.0446927374301676,0.18324022346368715,0.00782122905027933,0.030167597765363128,0.08826815642458101,0.2324022346368715,0.00782122905027933,0.02569832402234637,0.060335195530726256,0.10391061452513967
facebook,379.3333333333333,2201.6666666666665,3783.0,3946.3333333333335,0.25,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,0.25,0.5
random,10.143809523809523,51.93952380952381,72.35714285714286,51.77571428571429,0.0038095238095238095,0.04047619047619048,0.11523809523809524,0.20238095238095238,0.2042857142857143,0.2780952380952381,0.30857142857142855,0.3180952380952381,0.20095238095238097,0.23952380952380953,0.1961904761904762,0.11952380952380952
