graph_family,n,runs,pivot_new_p0.05,pivot_new_p0.40,sparse_lp_new_p0.05,sparse_lp_new_p0.40,normalized_cost_ratio_p0.05,normalized_cost_ratio_p0.40,median_runtime_p0.05,median_runtime_p0.40
clique,10,600,1.7846378306878308,2.336791979949875,0.9980753968253968,0.9921679197994988,0.9966853578821308,0.8125742652115652,0.041705131530761705,0.027075171470642048
clique,15,600,1.9768482090349737,2.544579981129981,0.998173665931019,0.996190075356742,1.0004023764132632,0.9098705012208282,0.14909958839416498,0.0938150882720947
clique,20,600,2.0777711920576944,2.5295330257977318,0.9998611111111111,0.9958971953971955,0.9971205878996802,0.9386699396587643,0.4130210876464844,0.25429511070251465
clique,25,800,2.2012981395993707,2.663259650496394,1.0,0.9994200336700336,0.9964593891551035,0.9740360849938594,0.9468255043029785,0.5726850032806396
clique,30,800,2.361016934517399,3.018907546689064,1.0,0.9997019635343618,0.9955030861104228,0.9796660885140469,1.7503999471664429,1.0707387924194336
clique,100,180,2.2169336447752386,2.483214927092775,0.9546264138167169,0.95523568275267,1.0026275622900067,0.9991873085033274,116.371563911438,82.3013801574707
facebook,58,4,1.398648648648649,1.6297297297297295,0.8918918918918919,0.9864864864864896,1.0375063613231552,0.8278984771573604,25.556480884552,6.51894998550415
facebook,64,4,1.6819148936170212,1.9226415094339624,0.9680851063829788,0.9905660377358492,1.0185868011137031,0.9133712878904446,61.229390144348145,15.914793014526367
facebook,155,4,1.545382585751979,1.764516129032258,0.9307387862796904,0.943010752688172,1.0012330131439133,0.9652524594064449,1644.1335637569427,514.0343158245087
facebook,170,4,,,,,,,368.60119104385376,236.18790221214297
random,5,1400,1.4069753086419752,1.5987012987012987,0.9901234567901234,1.0,0.8730515026811323,0.24922728163468905,0.006517529487609849,0.0047122240066527505
random,10,1400,1.4543422577422578,1.655005660710448,0.9663470689363547,0.9837283837616284,0.9167327085259681,0.3629975201435462,0.044816613197326646,0.0285577774047851
random,15,1400,1.4736803440143331,1.5726545240925693,0.9150663735417576,0.9693294719175765,0.9245957036668587,0.412875464621778,0.19375455379486078,0.11409461498260495
random,20,1400,1.4813826678633761,1.5374498996470647,0.8752479418983027,0.9494675426392599,0.9315886549094277,0.4456462133431461,0.6063705682754517,0.37308001518249506
random,25,1400,1.4849108089761187,1.5141870090561682,0.8413119346530686,0.9257410993746196,0.9342775466404104,0.46166647456893845,1.6029058694839478,1.1216144561767578
random,30,1400,1.4742468298736315,1.4846347820113936,0.8159685079850804,0.8954403269402748,0.9389405528154973,0.48039329803606723,11.479368090629578,3.27507746219635
