graph_family,lp_complete_mean,lp_gap_complete_mean,lp_new_p0.05,lp_new_p0.15,lp_new_p0.25,lp_new_p0.40,lp_gap_new_p0.05,lp_gap_new_p0.15,lp_gap_new_p0.25,lp_gap_new_p0.40
clique,0.9969788637184277,0.0030211362815722132,0.9970667203372976,0.9969989590807029,0.9962178661809964,0.994967459124343,0.0029332796627024823,0.0030010409192970646,0.0037821338190035044,0.005032540875656945
facebook,0.9365441999709715,0.0634558000290284,0.9302385948515205,0.9348198034219134,0.9449095953997056,0.9733544256368369,0.06976140514847962,0.0651801965780866,0.05509040460029435,0.02664557436316306
random,0.8909630903256237,0.10903690967437635,0.8971351350437776,0.917353391110879,0.9299735866309717,0.9482577284832523,0.10286486495622241,0.08264660888912093,0.07002641336902823,0.05174227151674773
