graph_family,complete_ilp_mean,complete_cost_per_edge_mean,new_ilp_p0.05,new_ilp_p0.15,new_ilp_p0.25,new_ilp_p0.40,cost_ratio_p0.05,cost_ratio_p0.15,cost_ratio_p0.25,cost_ratio_p0.40,new_cost_per_edge_p0.05,new_cost_per_edge_p0.15,new_cost_per_edge_p0.25,new_cost_per_edge_p0.40,normalized_cost_ratio_p0.05,normalized_cost_ratio_p0.15,normalized_cost_ratio_p0.25,normalized_cost_ratio_p0.40
clique,46.00446927374302,0.09340905221846933,43.712849162011175,38.67821229050279,34.134078212290504,27.075977653631284,0.9487330401741262,0.8341348134375856,0.7330540042051261,0.5610200657021837,0.09310158757821915,0.09151522250378681,0.09097603694492243,0.08674160328308952,0.9973653448999069,0.9788116571433433,0.974844963535024,0.9328168374278264
facebook,323.0,0.053421837696397155,308.6666666666667,273.0,240.33333333333334,185.0,0.9689351103292559,0.8597822015835442,0.752377371615494,0.5410543260020035,0.054314632551892644,0.053620039305610934,0.05328443296440169,0.048656127373283675,1.0191087251935906,1.006294287683933,0.9994497214892061,0.9021740748180833
random,45.16952380952381,0.22364209003625649,40.857619047619046,31.743333333333332,23.196666666666665,12.661904761904761,0.877773817076069,0.6308980018196961,0.44289472386549045,0.24634435279967828,0.2103996655180149,0.17873609068050209,0.1452783235763817,0.0956783999620817,0.9210765044414524,0.7403661770586455,0.5870749735873926,0.40609337684182667
