graph_family,pivot_complete_mean,sparse_lp_complete_mean,complete_bad_triangle_density_mean,pivot_new_p0.05,pivot_new_p0.15,pivot_new_p0.25,pivot_new_p0.40,sparse_lp_new_p0.05,sparse_lp_new_p0.15,sparse_lp_new_p0.25,sparse_lp_new_p0.40,normalized_cost_ratio_p0.05,normalized_cost_ratio_p0.15,normalized_cost_ratio_p0.25,normalized_cost_ratio_p0.40,median_runtime_p0.05,median_runtime_p0.15,median_runtime_p0.25,median_runtime_p0.40
clique,2.0050256741604207,0.9969788637184277,0.1374144442637368,2.109624149279681,2.3187196922343993,2.472450049075539,2.6424696987799052,0.9970667203372976,0.9969989590807029,0.9962178661809964,0.994967459124343,0.9973653448999069,0.9788116571433433,0.974844963535024,0.9328168374278264,0.4660389423370361,0.389247179031372,0.3367960453033447,0.3179571628570556
facebook,1.5604063060072064,0.9365441999709715,0.027325260027901394,1.5419820426725497,1.6610071593253244,1.717989024382338,1.77229578939865,0.9302385948515205,0.9348198034219134,0.9449095953997056,0.9733544256368369,1.0191087251935906,1.006294287683933,0.9994497214892061,0.9021740748180833,214.91529059410095,262.9690080881119,149.8315898180008,126.05134761333467
random,1.4426188022840554,0.8909630903256237,0.3128265534477797,1.4647922531176902,1.4898978567971286,1.511329214436369,1.554920976600958,0.8971351350437776,0.917353391110879,0.9299735866309717,0.9482577284832523,0.9210765044414524,0.7403661770586455,0.5870749735873926,0.40609337684182667,0.3944231271743774,0.3488830327987671,0.2861011028289795,0.24717545509338373
