graph_family,complete_bad_triangle_density_mean,new_bad_triangle_density_p0.05,new_bad_triangle_density_p0.15,new_bad_triangle_density_p0.25,new_bad_triangle_density_p0.40,bad_triangles_removed_p0.05,bad_triangles_removed_p0.15,bad_triangles_removed_p0.25,bad_triangles_removed_p0.40,bad4_density_p0.05,bad4_density_p0.15,bad4_density_p0.25,bad4_density_p0.40
clique,0.1374144442637368,0.11851292493982167,0.08400090888704459,0.05817025726933784,0.029821944923752633,0.13368574992655602,0.383245729024638,0.5738691350696936,0.7798577079886593,35.51876765830243,227.29137441428648,428.457235505272,554.2561650552334
facebook,0.027325260027901394,0.024025314590697545,0.017563498521383246,0.012476289828433674,0.006177930244876802,0.11661150392076661,0.353216770735218,0.5383829718063959,0.7779935645997682,36.98060829547246,247.28038909900803,488.10068729809035,647.5204527869463
random,0.3128265534477797,0.25508920981273114,0.1572164015192822,0.09136089199196705,0.03350584099698753,0.21971027116591638,0.56914270232535,0.7659918999439383,0.9164366608213382,34.290357912330876,196.95668317639615,313.2569060212206,279.9959840237683
