ego_id,n,seed,p_delete,num_edges_deleted,pivot_best_cost,pivot_average_cost,lp_cost,lp_runtime_seconds,minmax_cc_cluster_count,minmax_cc_max_disagreement,minmax_cc_d_hat,minmax_cc_lambda,minmax_cc_runtime_seconds,minmax_lp_cost,minmax_lp_rounding_cost,minmax_lp_cluster_count,minmax_lp_max_disagreement_vertex,minmax_lp_r,minmax_lp_r2,minmax_lp_method,minmax_lp_norm,minmax_lp_runtime_seconds,minmax_lp_rounding_runtime_seconds,minmax_lp_total_runtime_seconds,minmax_cc_to_lp_ratio
3980,52,0,0.0,0,85,117.44,68.5,0.26545214653015137,52,18,8,5,0.001468,7.342016808376022,13.0,28,2,0.4,0.4,2,inf,1.079788,0.000378,1.080166,2.451642439644784
3980,52,1,0.05,63,82,113.14,66.5,0.20810413360595703,52,18,8,5,0.000941,7.08784088330884,13.0,37,2,0.4,0.4,2,inf,1.129122,0.000368,1.12949,2.5395603959434543
