n,runs,avg_complete_ilp_cost,avg_new_ilp_with4_cost,avg_complete_lp_ilp_ratio,avg_complete_pivot_ilp_ratio,avg_new_lp_ilp_ratio_with4,avg_new_pivot_ilp_ratio_with4,avg_bad_triangle_density,avg_bad_triangles_total
5,350,1.5085714285714287,0.8514285714285714,0.9876543209876544,1.1111111111111112,0.9952153110047847,1.1706539074960127,0.3122857142857143,3.1228571428571428
10,350,9.12,6.02,0.9601047583369012,1.141228921871779,0.9799427249898948,1.1948161813727851,0.3098095238095238,37.177142857142854
15,350,24.057142857142857,16.7,0.9020865455463276,1.2113131138043223,0.9404666923719802,1.2363934664330323,0.3117488226059655,141.84571428571428
20,350,46.18571428571428,32.52857142857143,0.8649921320308588,1.2484785049110998,0.9066005817461152,1.269549042365341,0.31409022556390975,358.0628571428571
25,350,76.38,53.86571428571428,0.8333374030445366,1.274740459380642,0.8727829337858526,1.2955764255898026,0.3153937888198758,725.4057142857143
30,350,113.76571428571428,80.49428571428571,0.8122451969362853,1.266834449605358,0.8468314444592624,1.3138311022278883,0.3136312456016889,1273.3428571428572
