n,p_positive,runs,pivot_ilp_complete,lp_ilp_complete,pivot_ilp_edge,lp_ilp_edge,bad_triangle_density,ilp_cost
5,0.2,200,1.02,0.97,1.0454545454545454,0.9772727272727273,0.094,0.64
5,0.3,200,1.0404761904761906,0.9857142857142858,1.0897435897435896,0.9935897435897436,0.158,0.94
5,0.4,200,1.058139534883721,0.9806201550387597,1.0422535211267605,0.9870892018779343,0.228,1.26
5,0.5,200,1.0851063829787233,0.9929078014184397,1.096774193548387,0.9982078853046595,0.334,1.64
5,0.6,200,1.1547619047619047,0.9914965986394558,1.1771604938271605,0.9944444444444445,0.446,2.08
5,0.7,200,1.2040816326530612,0.9829931972789115,1.21301775147929,0.9906311637080868,0.508,2.22
5,0.8,200,1.1428571428571428,1.0,1.2401129943502824,1.0,0.418,1.78
10,0.2,200,1.0548333333333333,0.9320833333333334,1.0636150234741784,0.9470657276995306,0.09683333333333333,4.48
10,0.3,200,1.124119769119769,0.929849025974026,1.0616088243206887,0.9584997982243745,0.18866666666666668,6.94
10,0.4,200,1.1589733044733044,0.9294859307359308,1.1294958820469025,0.9597799954517642,0.2806666666666667,9.2
10,0.5,200,1.1809842934842936,0.9528628038628039,1.1652012437916692,0.9658784035113822,0.37,11.12
10,0.6,200,1.1675878565878566,0.9791305361305361,1.2076776834276834,0.9823105297480298,0.4251666666666667,12.02
10,0.7,200,1.1405476745476746,0.9973216783216783,1.261790057165057,0.9935312187812188,0.4281666666666667,11.38
10,0.8,200,1.1615562215562216,1.0,1.4727083194583195,0.9978161525974026,0.37916666666666665,8.7
15,0.2,200,1.1687658142511084,0.8639012964160023,1.088391700891701,0.9433287545787545,0.08967032967032967,11.7
15,0.3,200,1.2033654356830559,0.8208356756175877,1.1328641064431548,0.9102458658030572,0.18567032967032968,18.88
15,0.4,200,1.211981718797027,0.8347212594328963,1.1854064744774644,0.8956120363184773,0.2836043956043956,24.8
15,0.5,200,1.2080747242284327,0.8699581569414431,1.2139773849769773,0.9147490318018127,0.3712087912087912,30.02
15,0.6,200,1.1711397884703518,0.9295864255780646,1.2323460339526866,0.9276396722006167,0.42936263736263736,32.84
15,0.7,200,1.226408333299137,0.995603004838299,1.2787559259272196,0.9811059229270483,0.44065934065934065,29.52
15,0.8,200,1.289455981901144,1.0,1.4919723483169824,0.9973301818204005,0.3820659340659341,20.64
20,0.2,200,1.2336445184545408,0.7988714987619854,1.1335907555005418,0.908127620657015,0.09422807017543859,23.54
20,0.3,200,1.2681748336488787,0.7822782415753515,1.2041006129498604,0.8851724591555796,0.18759649122807018,36.48
20,0.4,200,1.2521162726392614,0.7785013171419718,1.2455036480037975,0.845599442780639,0.28917543859649125,49.04
20,0.5,200,1.2090966324714523,0.8048954434472873,1.2451980528233946,0.8654293117341563,0.3770350877192982,59.22
20,0.6,200,1.1827606030398068,0.8952158252501998,1.250981182733869,0.875202141945322,0.4323157894736842,63.4
20,0.7,200,1.2408344550641315,0.9951825980392157,1.2911878568027315,0.9651821761900516,0.4384561403508772,54.34
20,0.8,200,1.3527222190596273,1.0,1.5116845400982484,0.9974241140145259,0.3798245614035088,37.28
25,0.2,200,1.2840157410348643,0.7591051611983576,1.2030910741575163,0.8846267742386441,0.09602608695652173,39.64
25,0.3,200,1.2855827311690133,0.7261509222073782,1.2235154597955984,0.8484151979387401,0.19002608695652173,62.06
25,0.4,200,1.265411482215199,0.7334181284493639,1.2669654996225528,0.7899330888837024,0.29062608695652176,82.14
25,0.5,200,1.2196455550075613,0.7651830780171381,1.2575986185515546,0.8179369697993422,0.37670434782608697,98.1
25,0.6,200,1.1838825823679786,0.8550335175960525,1.249379246924876,0.8391310851619639,0.43267826086956523,105.12
25,0.7,200,1.2931908096108546,0.9944710138434658,1.305968835884911,0.9423241393832422,0.4403913043478261,88.04
25,0.8,200,1.3914543142590232,1.0,1.5580296226824226,0.9971910022448418,0.38130434782608696,59.56
30,0.2,200,1.290269272151732,0.7208986484805349,1.2269533537169552,0.8413064660564262,0.0949655172413793,59.94
30,0.3,200,1.2898190722161276,0.7011161379341246,1.2512029282078216,0.8123169835813816,0.1900246305418719,93.32
30,0.4,200,1.2481858342873744,0.7032965268148571,1.2778812118381557,0.7533250544556482,0.28839408866995075,123.9
30,0.5,200,1.215724462915546,0.7339431987811181,1.2636224520465382,0.788508296075613,0.37386699507389165,147.76
30,0.6,200,1.1868645948623755,0.83065407433557,1.2529414674028807,0.8017651648292901,0.4309261083743842,156.9
30,0.7,200,1.2954292573268325,0.9958077922077923,1.3000298493575615,0.9222958332221856,0.43715270935960593,128.4
30,0.8,200,1.4116510087399574,1.0,1.5818471350621863,0.9969466649400816,0.3800886699507389,86.14
