n,runs,avg_pivot_ilp_complete,avg_lp_ilp_complete,avg_pivot_ilp_edge,avg_lp_ilp_edge
5,1400,1.1111111111111112,0.9876543209876544,1.1684372049102927,0.9940982058545798
10,1400,1.141228921871779,0.9601047583369012,1.2227005769043136,0.97664503761034
15,1400,1.2113131138043223,0.9020865455463276,1.2526223255151763,0.9414887640536169
20,1400,1.2484785049110998,0.8649921320308588,1.2840336809818875,0.9092510818473564
25,1400,1.274740459380642,0.8333374030445366,1.3067304301143559,0.8779429664709241
30,1400,1.2768490717857064,0.8122451969362853,1.3181217809603545,0.8507334534371926
