ego_id,n,runs,has_ilp,pivot_ilp_complete,lp_ilp_complete,complete_ilp_cost,complete_lp_cost,new_ilp_cost,new_lp_cost
3980,58,4,yes,1.1733333333333333,0.9133333333333333,75.0,68.5,59.0,54.25000000000003
698,64,4,yes,1.2268041237113403,0.9690721649484536,97.0,94.0,75.25,73.125
414,155,4,yes,1.3739021329987453,0.9272271016311281,797.0,739.0000000000091,621.0,580.7500000000007
686,170,4,no,,,,826.5,,663.875
