n,runs,avg_pivot_ilp_complete,avg_lp_ilp_complete,avg_pivot_ilp_edge,avg_lp_ilp_edge
5,350,1.1111111111111112,0.9876543209876544,1.1706539074960127,0.9952153110047847
10,350,1.141228921871779,0.9601047583369012,1.1948161813727851,0.9799427249898948
15,350,1.2113131138043223,0.9020865455463276,1.2363934664330323,0.9404666923719802
20,350,1.2484785049110998,0.8649921320308588,1.269549042365341,0.9066005817461152
25,350,1.274740459380642,0.8333374030445366,1.2955764255898026,0.8727829337858526
30,350,1.266834449605358,0.8122451969362853,1.3138311022278883,0.8468314444592624
