graph_family,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
random,8400,8400,45.16952380952381,27.114880952380954,0.5494777238902334,0.45052227610976653,0.8909630903256237,0.919210727146772,0.02264827084751109,1.2131966414820432,1.2659616857993514,0.04151393150035217,423.1595238095238,183.26357142857142,0.6178203835641357,0.8406442249110067,0.8371243081543781,46.554047619047616
clique,3685,3685,58.83880597014925,46.90094979647218,0.7715368932093196,0.2284631067906804,0.9957416198950774,0.9950791996795973,-0.0006391821248665103,1.3287969299124522,1.7439768268601017,0.41338564357841373,1645.0550881953868,909.4073270013569,0.4653556606095104,0.9664774335364382,0.9579628777308621,772.1221166892809
facebook,16,12,323.0,251.75,0.7805372523825744,0.2194627476174256,0.9365441999709717,0.945830604827494,0.009286404856522415,1.2580131966811396,1.4298655707753003,0.17185237409416074,11960.5,6444.25,0.44655120276553717,0.8489524146247167,0.8328621081466943,2577.5833333333335
