n,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
5,1400,1400,1.5085714285714287,0.7364285714285714,0.4706088664421998,0.5293911335578002,0.9876543209876544,0.9940982058545798,0.0070821529745042485,1.1111111111111112,1.1684372049102927,0.027030217186024552,3.1228571428571428,1.2807142857142857,0.6276782374004596,0.9259259259259259,0.9159584513692163,0.047142857142857146
10,1400,1400,9.12,5.1414285714285715,0.5298676839033982,0.47013231609660183,0.9601047583369012,0.97664503761034,0.010016064319889939,1.141228921871779,1.2227005769043136,0.071398641394193,37.177142857142854,15.902142857142858,0.6197411619370158,0.869535472464044,0.8703107366141174,1.2964285714285715
15,1400,1400,24.057142857142857,14.194285714285714,0.5558190017881209,0.44418099821187906,0.9020865455463276,0.9414887640536169,0.028700990358296638,1.2113131138043223,1.2526223255151763,0.03670672780545796,141.84571428571428,62.162142857142854,0.6131365961816336,0.843050782454532,0.8458906562669501,8.726428571428572
20,1400,1400,46.18571428571428,27.667142857142856,0.5695794474732944,0.43042055252670564,0.8649921320308588,0.9092510818473564,0.03152189404447857,1.2484785049110998,1.2840336809818875,0.03520844615934129,358.0628571428571,155.65785714285715,0.6149352408355511,0.8214284859892261,0.8264309669714813,29.190714285714286
25,1400,1400,76.38,45.97642857142857,0.5759253706330688,0.42407462936693124,0.8333374030445366,0.8779429664709241,0.029790136796192034,1.274740459380642,1.3067304301143559,0.032825964814187765,725.4057142857143,313.3364285714286,0.6168197935891425,0.8065453591343865,0.8074864465104197,76.53428571428572
30,1400,1400,113.76571428571428,68.97357142857143,0.5831229746877594,0.4168770253122406,0.8122451969362853,0.8507334534371926,0.021706138749445283,1.2768490717857064,1.3181217809603545,0.041737174327320645,1273.3428571428572,551.2421428571429,0.6161040321647983,0.7902934096516133,0.791381292013589,163.52928571428572
