n,p_positive,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
5,0.2,50,50,0.64,0.08,0.1,0.9,0.97,1.0,0.125,1.02,1.0,-0.125,0.94,0.08,0.9433333333333334,0.92,1.0,0.0
5,0.3,50,50,0.94,0.24,0.24523809523809523,0.7547619047619047,0.9857142857142858,1.0,0.041666666666666664,1.0404761904761906,1.1666666666666667,0.048611111111111105,1.58,0.3,0.8315192743764173,0.9619047619047619,1.0,0.0
5,0.4,50,50,1.26,0.56,0.4186046511627907,0.5813953488372093,0.9806201550387597,0.9895833333333334,0.013888888888888886,1.058139534883721,1.0416666666666667,-0.020833333333333332,2.28,0.74,0.7151162790697675,0.937984496124031,0.9583333333333334,0.0
5,0.5,50,50,1.64,0.78,0.46808510638297873,0.5319148936170213,0.9929078014184397,1.0,0.010416666666666664,1.0851063829787233,1.109375,0.03125,3.34,1.22,0.6514184397163121,0.9539007092198581,0.96875,0.02
5,0.6,50,50,2.08,1.26,0.5833333333333334,0.4166666666666667,0.9914965986394558,0.9958333333333333,0.00625,1.1547619047619047,1.1791666666666667,0.014583333333333337,4.46,2.36,0.5141885325558795,0.891156462585034,0.9083333333333333,0.04
5,0.7,50,50,2.22,1.64,0.7636054421768708,0.23639455782312924,0.9829931972789115,0.9878472222222222,0.005208333333333333,1.2040816326530612,1.2083333333333333,0.0,5.08,2.88,0.4333819241982507,0.8809523809523809,0.875,0.12
5,0.8,50,50,1.78,1.4,0.8367346938775511,0.16326530612244897,1.0,1.0,0.0,1.1428571428571428,1.2448979591836735,0.10204081632653061,4.18,2.44,0.39412050534499515,0.945578231292517,0.9421768707482994,0.16
10,0.2,50,50,4.48,0.58,0.13338095238095238,0.8666190476190476,0.9320833333333334,0.9682539682539683,0.03962585034013605,1.0548333333333333,1.0476190476190477,-0.022222222222222206,11.62,0.84,0.9228487921607117,0.8092380952380952,0.9126984126984127,0.0
10,0.3,50,50,6.94,2.74,0.3861378066378066,0.6138621933621934,0.929849025974026,0.9663627152988855,0.038331836603113206,1.124119769119769,1.0604863221884497,-0.06446378680421233,22.64,5.8,0.7533381407174111,0.8076320346320346,0.8829280648429585,0.08
10,0.4,50,50,9.2,5.12,0.5575223665223665,0.44247763347763347,0.9294859307359308,0.9661587301587302,0.03667279942279942,1.1589733044733044,1.108436507936508,-0.050536796536796554,33.68,12.84,0.6203221110862545,0.8270764790764791,0.8360555555555556,0.48
10,0.5,50,50,11.12,7.08,0.6387302142302143,0.36126978576978575,0.9528628038628039,0.9717009379509379,0.01883813408813408,1.1809842934842936,1.1738037518037518,-0.007180541680541666,44.4,21.18,0.5239783384099527,0.8365430125430126,0.8324264069264069,1.3
10,0.6,50,50,12.02,8.82,0.7375793095793096,0.26242069042069044,0.9791305361305361,0.9843069985569985,0.005176462426462418,1.1675878565878566,1.203463924963925,0.03587606837606839,51.02,28.22,0.44615055234852635,0.8916434676434677,0.8816666666666667,2.06
10,0.7,50,50,11.38,9.6,0.8518654678654679,0.14813453213453215,0.9973216783216783,0.9952214452214452,-0.002100233100233098,1.1405476745476746,1.234020091020091,0.09347241647241648,51.38,31.4,0.38653788242375287,0.9304805194805195,0.9014348984348984,2.78
10,0.8,50,50,8.7,8.2,0.9562758907758908,0.04372410922410922,1.0,1.0,0.0,1.1615562215562216,1.442449494949495,0.28089327339327336,45.5,30.46,0.33278750998952883,0.9841346986346986,0.9526327561327561,3.24
15,0.2,50,50,11.7,1.76,0.15132342657342657,0.8486765734265734,0.8639012964160023,0.98125,0.11823450854700855,1.1687658142511084,1.0375,-0.13583246614496614,40.8,2.78,0.9307212599226308,0.7737125799037564,0.9416666666666667,0.0
15,0.3,50,50,18.88,8.04,0.4213592525092054,0.5786407474907946,0.8208356756175877,0.9204026945276945,0.09956701891010682,1.2033654356830559,1.1515201465201466,-0.0518452891629093,84.48,22.66,0.7379965788379115,0.7565043358721714,0.8181984681984682,0.7
15,0.4,50,50,24.8,14.4,0.5778281061996007,0.42217189380039927,0.8347212594328963,0.8961290741851887,0.06140781475229235,1.211981718797027,1.1909008376384538,-0.021080881158573202,129.04,51.52,0.6041191655664182,0.7654676962507232,0.7944882377684235,3.5
15,0.5,50,50,30.02,20.76,0.6897525187394487,0.31024748126055135,0.8699581569414431,0.8908526578185559,0.020894500877112806,1.2080747242284327,1.2126776086093831,0.00460288438095044,168.9,84.8,0.5013357851833609,0.7939779193872304,0.7836512358874024,8.36
15,0.6,50,50,32.84,25.4,0.7735981004979074,0.22640189950209252,0.9295864255780646,0.913383026414385,-0.016203399163679653,1.1711397884703518,1.2252371180189288,0.05409732954857687,195.36,110.88,0.4330878358730591,0.8569302786713553,0.8112457180196455,13.72
15,0.7,50,50,29.52,26.18,0.8926635796921834,0.10733642030781664,0.995603004838299,0.9894060551836413,-0.006196949654657575,1.226408333299137,1.2744197074833072,0.04801137418417044,200.5,126.12,0.37111520345144566,0.9592905185553733,0.8979133367659604,19.66
15,0.8,50,50,20.64,20.36,0.9896954907161803,0.01030450928381963,1.0,1.0,0.0,1.289455981901144,1.5227201534744004,0.2332641715732564,173.84,117.56,0.3244491871569016,0.9954721485411141,0.9730085591967945,21.5
20,0.2,50,50,23.54,3.6,0.15362024415012582,0.8463797558498741,0.7988714987619854,0.9687560738581147,0.16961606054413542,1.2336445184545408,1.0945578231292517,-0.1419113162072575,107.42,6.72,0.935502883533504,0.7264489051898918,0.8766763848396502,0.12
20,0.3,50,50,36.48,16.3,0.44506652707481165,0.5549334729251884,0.7822782415753515,0.8851574167744581,0.10287917519910658,1.2681748336488787,1.227274955055713,-0.04089987859316585,213.86,55.18,0.743668099469907,0.7336895450095735,0.7670124829366652,3.0
20,0.4,50,50,49.04,29.28,0.5962694452393974,0.4037305547606026,0.7785013171419718,0.8304818491163221,0.05198053197435025,1.2521162726392614,1.2529396844925065,0.0008234118532449619,329.66,131.76,0.6016126351497998,0.7330612439344257,0.7444602003928039,10.52
20,0.5,50,50,59.22,40.92,0.6903746139376394,0.3096253860623606,0.8048954434472873,0.8267078606095188,0.021812417162231614,1.2090966324714523,1.2433668437022358,0.034270211230783464,429.82,214.88,0.500796005207444,0.7560435615321242,0.7552320836106571,25.78
20,0.6,50,50,63.4,50.14,0.791751455574195,0.20824854442580498,0.8952158252501998,0.8555447127356063,-0.03967111251459358,1.1827606030398068,1.234567068543661,0.05180646550385414,492.84,280.88,0.43007659068921394,0.836438680896278,0.7876741194442908,45.24
20,0.7,50,50,54.34,50.3,0.9285737700602698,0.07142622993973019,0.9951825980392157,0.980799268971027,-0.014383329068188712,1.2408344550641315,1.2846462561718017,0.043811801107670224,499.84,313.6,0.3725720964814996,0.9651020807469053,0.9059230037648335,62.18
20,0.8,50,50,37.28,37.16,0.9971794871794872,0.0028205128205128203,1.0,1.0,0.0,1.3527222190596273,1.5459908410774956,0.1932686220178684,433.0,289.36,0.3330759560976012,0.9992153846153846,0.9874315220206213,68.6
25,0.2,50,50,39.64,6.52,0.1639657859300036,0.8360342140699965,0.7591051611983576,0.9617117604617604,0.20260659926340288,1.2840157410348643,1.1565440115440115,-0.12747172949085278,220.86,14.14,0.935870335646886,0.7139863012489057,0.8433109668109668,0.46
25,0.3,50,50,62.06,27.56,0.4432831997521487,0.5567168002478513,0.7261509222073782,0.8253233396214039,0.09917241741402573,1.2855827311690133,1.2391346522199869,-0.04644807894902634,437.06,110.92,0.74649306645951,0.6940712630597053,0.739048149758703,7.56
25,0.4,50,50,82.14,49.04,0.5964574562125599,0.40354254378744014,0.7334181284493639,0.774264031083707,0.04084590263434304,1.265411482215199,1.2755000333535809,0.01008855113838191,668.44,263.34,0.6067671426463072,0.7062543669749923,0.720853013486577,34.8
