graph_family,runs_with_both_costs,cost_changed_count,cost_changed_percent,same_clustering_known,clustering_changed_count,clustering_changed_percent,same_cost_different_clustering_count,same_cost_different_clustering_percent,avg_bad4_cycles
random,8400,760,9.047619047619047,8400,2329,27.726190476190474,1588,18.904761904761905,46.554047619047616
clique,3685,210,5.698778833107191,3685,328,8.900949796472185,183,4.966078697421981,772.1221166892809
facebook,12,4,33.333333333333336,12,9,75.0,5,41.666666666666664,2577.5833333333335
