graph_family,runs,avg_complete_max_disjoint_over_ilp,avg_new_max_disjoint_over_ilp,avg_complete_bad_triangle_density,avg_edge_bad_triangle_density,avg_bad_triangle_removed_fraction,corr_complete_bad_triangles_vs_ilp,corr_complete_max_disjoint_vs_ilp
random,8400,0.8406442249110067,0.8371243081543781,0.31282655344777965,0.13429308608024199,0.6178203835641357,0.9480865151366753,0.9779397008208034
clique,3685,0.9664774335364382,0.9579628777308621,0.13668539404857574,0.07251096900698425,0.4653556606095104,0.9363550024892641,0.9948130475196473
facebook,16,0.8489524146247167,0.8328621081466943,0.027325260027901394,0.015060758296347817,0.44655120276553717,0.9999885582682214,0.999957786614837
