ego_id,n,p_delete,ratio,runs,mean,std,ci95_low,ci95_high
3980,52,0.05,minmaxcc_to_lp,30.0,2.4828496424973774,0.06116260375991176,2.4600111509133225,2.5056881340814323
3980,52,0.15,minmaxcc_to_lp,30.0,2.609368736618576,0.11805180767494354,2.565287467177365,2.6534500060597868
3980,52,0.25,minmaxcc_to_lp,30.0,2.691691744020321,0.1752249587997263,2.626261669091318,2.757121818949324
3980,52,0.4,minmaxcc_to_lp,30.0,2.930696593691177,0.225241595699251,2.8465899996038897,3.014803187778464
698,61,0.05,minmaxcc_to_lp,30.0,2.747043007422269,0.04107379283451229,2.7317058011179314,2.762380213726607
698,61,0.15,minmaxcc_to_lp,30.0,2.8110450104926614,0.08250266698051835,2.780238008343226,2.841852012642097
698,61,0.25,minmaxcc_to_lp,30.0,2.929738505769707,0.12215299245508963,2.8841258287636107,2.9753511827758032
698,61,0.4,minmaxcc_to_lp,30.0,3.14539197884663,0.15753939822159252,3.086565800769509,3.204218156923751
414,150,0.05,minmaxcc_to_lp,30.0,2.0467025649084865,0.051905487359473125,2.027320737397039,2.066084392419934
414,150,0.15,minmaxcc_to_lp,30.0,2.099492748054724,0.0872085776767431,2.066928529972283,2.1320569661371653
414,150,0.25,minmaxcc_to_lp,30.0,2.1962885302558797,0.22818454374899944,2.1110830213066563,2.281494039205103
414,150,0.4,minmaxcc_to_lp,30.0,2.940800172791802,0.20363227142682716,2.864762632999034,3.0168377125845702
686,168,0.05,minmaxcc_to_lp,30.0,1.8237901398265812,0.061922962389118506,1.8006677256642434,1.846912553988919
686,168,0.15,minmaxcc_to_lp,30.0,1.7363077032237275,0.10121330741352143,1.6985140331139346,1.7741013733335205
686,168,0.25,minmaxcc_to_lp,30.0,1.7762018825555281,0.11605585673657272,1.732865913443373,1.8195378516676832
686,168,0.4,minmaxcc_to_lp,30.0,2.4172761895808974,0.1831537117134697,2.348885469657064,2.485666909504731
3980,52,0.05,minmaxcc_to_lp_rounding,30.0,1.3564185814185814,0.11214044647726717,1.3145446505251766,1.3982925123119863
3980,52,0.15,minmaxcc_to_lp_rounding,30.0,1.4266822066822067,0.154863554367017,1.368855205121391,1.4845092082430225
3980,52,0.25,minmaxcc_to_lp_rounding,30.0,1.5323031598031598,0.21045581829275392,1.4537176657361979,1.6108886538701217
3980,52,0.4,minmaxcc_to_lp_rounding,30.0,1.6052248677248677,0.24865161177034742,1.5123768299750273,1.6980729054747081
698,61,0.05,minmaxcc_to_lp_rounding,30.0,1.5846749222856034,0.17769083846713468,1.518324072756283,1.6510257718149237
698,61,0.15,minmaxcc_to_lp_rounding,30.0,1.6653605093736674,0.19874202188346687,1.5911490187706683,1.7395719999766666
698,61,0.25,minmaxcc_to_lp_rounding,30.0,1.7646641212817682,0.18010189751817654,1.6974129675067027,1.8319152750568337
698,61,0.4,minmaxcc_to_lp_rounding,30.0,1.749124024124024,0.22608975779143087,1.6647007211065512,1.8335473271414968
414,150,0.05,minmaxcc_to_lp_rounding,30.0,1.0920532422708347,0.09350820543879855,1.0571367045227502,1.1269697800189191
414,150,0.15,minmaxcc_to_lp_rounding,30.0,1.0961054445841738,0.08602783688084634,1.063982122360841,1.1282287668075066
414,150,0.25,minmaxcc_to_lp_rounding,30.0,1.1774641618560788,0.15210736845176734,1.1206663370300636,1.234261986682094
414,150,0.4,minmaxcc_to_lp_rounding,30.0,1.5744904401471906,0.19300761937228117,1.5024202106325093,1.646560669661872
686,168,0.05,minmaxcc_to_lp_rounding,30.0,0.8590045438148253,0.08340139138368476,0.8278619524579932,0.8901471351716573
686,168,0.15,minmaxcc_to_lp_rounding,30.0,0.8199233086945817,0.05779782596044489,0.798341245789675,0.8415053715994885
686,168,0.25,minmaxcc_to_lp_rounding,30.0,0.8328013229643167,0.0689606174412438,0.8070510052171287,0.8585516407115048
686,168,0.4,minmaxcc_to_lp_rounding,30.0,1.120143429199912,0.10351652650887432,1.0814897229456157,1.1587971354542081
