file_name,file_path,graph_family,graph_type,n,seed,p_delete,p_positive,cluster_sizes,ego_id,complete_pivot_best_cost,complete_pivot_average_cost,complete_bad_triangles_total,complete_bad_triangles_min_disjoint,complete_bad_triangles_max_disjoint,complete_ilp_cost,complete_lp_cost,complete_primal_cost,complete_dual_cost,complete_average_pivot_approx,complete_lp_ratio,complete_bad_triangle_primal_ratio,complete_bad_triangle_dual_ratio,complete_min_disjoint_bad_triangle_ratio,complete_max_disjoint_bad_triangle_ratio,edge_num_edges_deleted,edge_pivot_best_cost,edge_pivot_average_cost,edge_bad_triangles_total,edge_bad_triangles_min_disjoint,edge_bad_triangles_max_disjoint,edge_ilp_without4_cost,edge_ilp_with4_cost,edge_bad_4_cycles_count,same_clustering_4_cycle,edge_lp_without4_cost,edge_lp_with4_cost,edge_primal_cost,edge_dual_cost,edge_average_pivot_approx_without4,edge_average_pivot_approx_with4,edge_lp_ratio_without4,edge_lp_ratio_with4,edge_bad_triangle_primal_ratio,edge_bad_triangle_dual_ratio,edge_min_disjoint_bad_triangle_ratio,edge_max_disjoint_bad_triangle_ratio,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,edge_all_pairs_lp_to_ilp_ratio,edge_all_pairs_ilp_runtime_seconds,edge_all_pairs_lp_runtime_seconds,edge_all_pairs_ilp_optimal,runtime_seconds
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,3,0.4,,"[5, 5]",,3,5.63,13,,3,3.0,3.0,3.0,,1.8766666666666667,1.0,1.0,,,1.0,17,2,6.7,6,,2,2.0,2.0,0.0,,2.0,2.0,2.0,,3.35,3.35,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,0.0030000209808349,0.001000165939331,True,0.0264697074890136
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,4,0.05,,"[5, 5]",,3,4.1,10,,3,3.0,3.0,3.0,,1.3666666666666665,1.0,1.0,,,1.0,0,3,4.1,10,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,1.3666666666666665,1.3666666666666665,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0030000209808349,0.0,True,0.0438630580902099
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,4,0.15,,"[5, 5]",,3,4.1,10,,3,3.0,3.0,3.0,,1.3666666666666665,1.0,1.0,,,1.0,2,3,5.39,10,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,1.7966666666666666,1.7966666666666666,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0030000209808349,0.001000165939331,True,0.0576140880584716
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,4,0.25,,"[5, 5]",,3,4.1,10,,3,3.0,3.0,3.0,,1.3666666666666665,1.0,1.0,,,1.0,7,3,6.33,8,,2,3.0,3.0,0.0,,3.0,3.0,3.0,,2.11,2.11,1.0,1.0,1.0,,,0.6666666666666666,3.0,3.0,1.0,0.0019998550415039,0.0,True,0.0365839004516601
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,4,0.4,,"[5, 5]",,3,4.1,10,,3,3.0,3.0,3.0,,1.3666666666666665,1.0,1.0,,,1.0,12,4,6.61,7,,2,3.0,3.0,0.0,,3.0,3.0,3.0,,2.2033333333333336,2.2033333333333336,1.0,1.0,1.0,,,0.6666666666666666,3.0,3.0,1.0,0.002000093460083,0.0,True,0.0350589752197265
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,5,0.05,,"[5, 5]",,5,8.88,21,,5,5.0,5.0,5.0,,1.7760000000000002,1.0,1.0,,,1.0,4,5,8.75,20,,5,5.0,5.0,0.0,,5.0,5.0,5.0,,1.75,1.75,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.0019998550415039,0.0,True,0.0405008792877197
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,5,0.15,,"[5, 5]",,5,8.88,21,,5,5.0,5.0,5.0,,1.7760000000000002,1.0,1.0,,,1.0,8,5,8.99,19,,5,5.0,5.0,0.0,,5.0,5.0,5.0,,1.798,1.798,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.0029997825622558,0.0,True,0.0370159149169921
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,5,0.25,,"[5, 5]",,5,8.88,21,,5,5.0,5.0,5.0,,1.7760000000000002,1.0,1.0,,,1.0,12,4,8.28,13,,4,4.0,4.0,2.0,,4.0,4.0,4.0,,2.07,2.07,1.0,1.0,1.0,,,1.0,4.0,4.0,1.0,0.002000093460083,0.0009999275207519,True,0.0341660976409912
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,5,0.4,,"[5, 5]",,5,8.88,21,,5,5.0,5.0,5.0,,1.7760000000000002,1.0,1.0,,,1.0,19,4,6.31,8,,3,3.0,3.0,1.0,,3.0,3.0,3.0,,2.103333333333333,2.103333333333333,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0019998550415039,0.0,True,0.0362570285797119
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,6,0.05,,"[5, 5]",,2,3.86,10,,2,2.0,2.0,2.0,,1.93,1.0,1.0,,,1.0,2,2,3.86,10,,2,2.0,2.0,0.0,,2.0,2.0,2.0,,1.93,1.93,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,0.0019998550415039,0.0,True,0.0477557182312011
