case_id,n,seed,p_delete,p_pos_inside,p_pos_between,cluster_sizes,num_edges_deleted,pivot_best_cost,pivot_average_cost,lp_cost,lp_runtime_seconds
clq_n11_5_6,11,1,0.0,0.9,0.1,5_6,0,6,11.1,6.0,0.005398988723754883
clq_n11_5_6,11,1,0.05,0.9,0.1,5_6,2,6,10.8,6.0,0.0005660057067871094
