method,metric,graph_family,count,mean,std,min,max
sparse-ilp,lp_integrality_ratio,clique,3685,0.9951059068726525,0.02481866036246633,0.75,1.0000000000000009
sparse-ilp,lp_integrality_ratio,facebook,12,0.9458306048274941,0.031073894623639662,0.8918918918918919,0.9905660377358492
sparse-ilp,lp_integrality_ratio,random,8400,0.9364842431044383,0.0894195962391832,0.6666666666666666,1.0000000000000038
sparse-ilp,pivot_approx,clique,3666,2.3623031537127086,0.6874252153124637,0.0,12.97
sparse-ilp,pivot_approx,facebook,12,1.6528058990786316,0.12995068223292586,1.5174324324324324,1.929245283018868
sparse-ilp,pivot_approx,random,8325,1.3943150970483482,0.32639764112000363,1.0,6.23
sparse-ilp,bad_4_cycles,clique,3685,772.1221166892809,3432.056098975752,0.0,32255.0
sparse-ilp,bad_4_cycles,facebook,12,2577.5833333333335,4422.910384028995,9.0,11434.0
sparse-ilp,bad_4_cycles,random,8400,46.554047619047616,112.99813211701189,0.0,811.0
sparse-ilp,disjoint_bad_triangle_ratio,clique,3665,0.957962877730862,0.0819385649731036,0.0,1.0
sparse-ilp,disjoint_bad_triangle_ratio,facebook,12,0.8328621081466943,0.03466755137188029,0.7735849056603774,0.8936170212765957
sparse-ilp,disjoint_bad_triangle_ratio,random,6604,0.8371243081543781,0.13589344749669285,0.0,1.0
sparse-ilp,ilp_ratio,clique,3685,0.7715368932093195,0.1873850329389566,0.0,1.2
sparse-ilp,ilp_ratio,facebook,12,0.7805372523825743,0.16701936788737395,0.49333333333333335,0.9866666666666667
sparse-ilp,ilp_ratio,random,8188,0.5494777238902335,0.37350394944228715,0.0,1.0
all-pairs-ilp,lp_integrality_ratio,clique,3685,0.9950643157184427,0.024947546607867965,0.75,1.0
all-pairs-ilp,lp_integrality_ratio,facebook,12,0.9458306048274933,0.031073894623639523,0.8918918918918919,0.9905660377358492
all-pairs-ilp,lp_integrality_ratio,random,8400,0.936353990523618,0.0894385692630461,0.6666666666666666,1.0000000000000029
all-pairs-ilp,pivot_approx,clique,3666,2.3601459721311158,0.6831550165233541,0.0,12.97
all-pairs-ilp,pivot_approx,facebook,12,1.6528058990786316,0.12995068223292586,1.5174324324324324,1.929245283018868
all-pairs-ilp,pivot_approx,random,8327,1.3937938944366774,0.32574338191200725,1.0,6.23
all-pairs-ilp,bad_4_cycles,clique,3685,772.1221166892809,3432.056098975752,0.0,32255.0
all-pairs-ilp,bad_4_cycles,facebook,12,2577.5833333333335,4422.910384028995,9.0,11434.0
all-pairs-ilp,bad_4_cycles,random,8400,46.554047619047616,112.99813211701189,0.0,811.0
all-pairs-ilp,disjoint_bad_triangle_ratio,clique,3665,0.9574405503395034,0.08287053759270292,0.0,1.0
all-pairs-ilp,disjoint_bad_triangle_ratio,facebook,12,0.8328621081466943,0.03466755137188029,0.7735849056603774,0.8936170212765957
all-pairs-ilp,disjoint_bad_triangle_ratio,random,6606,0.8365796591571565,0.13676538766490037,0.0,1.0
all-pairs-ilp,ilp_ratio,clique,3685,0.7717782424633971,0.18690415220525464,0.0,1.2
all-pairs-ilp,ilp_ratio,facebook,12,0.7805372523825743,0.16701936788737395,0.49333333333333335,0.9866666666666667
all-pairs-ilp,ilp_ratio,random,8188,0.5497813390391023,0.3734314868207696,0.0,1.0
