graph_family,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
clique,0.05,895,23.223463687150836,46.00446927374302,43.712849162011175,43.712849162011175,0.9487330401741262,0.051266959825873766,0.9969788637184278,0.9970667203372975,1.3160524015347328,1.417476791878516,1162.9474860335195,999.7240223463688,0.13368574992655602,83.04692737430167,0.0,0.00782122905027933
clique,0.15,1000,141.503,93.299,78.924,78.918,0.8358010879534574,0.16419891204654255,0.9924196202293816,0.9923789474605006,1.3630159886066286,1.6818870117001539,2939.514,1796.827,0.38360133862455226,1323.379,0.006,0.034
clique,0.25,895,118.1072625698324,46.00446927374302,34.134078212290504,34.084916201117316,0.7330540042051261,0.2669459957948738,0.9969788637184278,0.9962178661809965,1.3160524015347328,1.8282752107144558,1162.9474860335195,485.3754189944134,0.5738691350696937,795.5899441340782,0.0446927374301676,0.08826815642458101
clique,0.40,895,188.05251396648043,46.00446927374302,27.075977653631284,26.858100558659217,0.5610200657021837,0.43897993429781634,0.9969788637184278,0.994967459124343,1.3160524015347328,2.061706667260294,1162.9474860335195,251.59217877094972,0.7798577079886593,821.8,0.18324022346368715,0.2324022346368715
facebook,0.05,4,378.0,323.0,308.6666666666667,308.3333333333333,0.9689351103292559,0.031064889670744097,0.9365441999709717,0.9302385948515204,1.2580131966811396,1.233291760294511,11960.5,10289.5,0.11661150392076661,379.3333333333333,0.3333333333333333,0.6666666666666666
facebook,0.15,4,1127.5,323.0,273.0,272.6666666666667,0.8597822015835442,0.14021779841645576,0.9365441999709717,0.9348198034219135,1.2580131966811396,1.4394612304331997,11960.5,7464.75,0.353216770735218,2201.6666666666665,0.3333333333333333,0.6666666666666666
facebook,0.25,4,1870.0,323.0,240.33333333333334,239.66666666666666,0.752377371615494,0.24762262838450605,0.9365441999709717,0.9449095953997056,1.2580131966811396,1.479218125004052,11960.5,5195.5,0.5383829718063959,3783.0,0.3333333333333333,0.6666666666666666
facebook,0.40,4,2988.0,323.0,185.0,184.33333333333334,0.5410543260020035,0.4589456739979965,0.9365441999709717,0.9733544256368368,1.2580131966811396,1.5674911673694387,11960.5,2827.25,0.7779935645997682,3946.3333333333335,0.3333333333333333,1.0
random,0.05,2100,8.796666666666667,45.16952380952381,40.857619047619046,40.853809523809524,0.877773817076069,0.12222618292393098,0.8909630903256237,0.8971351350437776,1.2131966414820432,1.2303046092996655,423.1595238095238,345.66714285714284,0.21971027116591638,10.143809523809523,0.0038095238095238095,0.2042857142857143
random,0.15,2100,26.79,45.16952380952381,31.743333333333332,31.70190476190476,0.6308980018196961,0.36910199818030387,0.8909630903256237,0.9173533911108791,1.2131966414820432,1.2533179757057094,423.1595238095238,216.1995238095238,0.56914270232535,51.93952380952381,0.04047619047619048,0.2780952380952381
random,0.25,2100,44.99,45.16952380952381,23.196666666666665,23.064285714285713,0.44289472386549045,0.5571052761345096,0.8909630903256237,0.9299735866309717,1.2131966414820432,1.283671350871119,423.1595238095238,125.37,0.7659918999439383,72.35714285714286,0.11523809523809524,0.30857142857142855
random,0.40,2100,72.34,45.16952380952381,12.661904761904761,12.371428571428572,0.24634435279967828,0.7536556472003217,0.8909630903256237,0.9482577284832523,1.2131966414820432,1.3297703693634118,423.1595238095238,45.81761904761905,0.9164366608213382,51.77571428571429,0.20238095238095238,0.3180952380952381
