n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
5,0.8,0.15,50,1.66,1.78,1.4,1.38,0.8367346938775511,0.16326530612244897,1.0,1.0,1.1428571428571428,1.2448979591836735,4.18,2.44,0.39412050534499515,0.16,0.02,0.02
5,0.8,0.25,50,2.48,1.78,1.24,1.18,0.7517006802721088,0.24829931972789115,1.0,1.0,1.1428571428571428,1.3695652173913044,4.18,1.82,0.5539844509232265,0.2,0.06,0.06
5,0.8,0.40,50,3.78,1.78,0.76,0.64,0.4931972789115646,0.5068027210884354,1.0,1.0,1.1428571428571428,1.2272727272727273,4.18,0.84,0.7880952380952381,0.3,0.12,0.14
10,0.2,0.05,50,2.24,4.48,3.14,3.14,0.7153095238095238,0.28469047619047616,0.9320833333333334,0.9381666666666667,1.0548333333333333,1.0703333333333334,11.62,6.68,0.4082165530398469,0.02,0.0,0.0
10,0.2,0.15,50,6.74,4.48,0.58,0.58,0.13338095238095238,0.8666190476190476,0.9320833333333334,0.9682539682539683,1.0548333333333333,1.0476190476190477,11.62,0.84,0.9228487921607117,0.0,0.0,0.0
10,0.2,0.25,50,11.18,4.48,0.0,0.0,0.0,1.0,0.9320833333333334,,1.0548333333333333,,11.62,0.0,1.0,0.0,0.0,0.0
10,0.2,0.40,50,17.8,4.48,0.0,0.0,0.0,1.0,0.9320833333333334,,1.0548333333333333,,11.62,0.0,1.0,0.0,0.0,0.0
10,0.3,0.05,50,2.24,6.94,5.4,5.4,0.788083694083694,0.21191630591630592,0.929849025974026,0.9486785714285714,1.124119769119769,1.0885396825396825,22.64,15.4,0.31239703023030524,0.06,0.0,0.06
10,0.3,0.15,50,6.74,6.94,2.74,2.74,0.3861378066378066,0.6138621933621934,0.929849025974026,0.9663627152988855,1.124119769119769,1.0604863221884497,22.64,5.8,0.7533381407174111,0.08,0.0,0.04
10,0.3,0.25,50,11.18,6.94,0.54,0.54,0.07177056277056276,0.9282294372294372,0.929849025974026,0.9642857142857143,1.124119769119769,1.0,22.64,0.64,0.9740219933514186,0.0,0.0,0.0
