graph_family,file_name,n,seed,p_delete_num,complete_lp_gap,edge_lp_gap,complete_lp_ratio,edge_lp_ratio_with4,complete_bad_triangle_density,edge_bad_triangle_density
random,random_n10_p02.json,10,47,0.05,0.16666666666666663,0.33333333333333337,0.8333333333333334,0.6666666666666666,0.058333333333333334,0.05
random,random_n30_p03.json,30,42,0.05,0.33168316831683164,0.33139534883720934,0.6683168316831684,0.6686046511627907,0.21083743842364533,0.15073891625615762
random,random_n30_p03.json,30,41,0.05,0.32065217391304346,0.323170731707317,0.6793478260869565,0.676829268292683,0.17955665024630543,0.14310344827586208
random,random_n30_p04.json,30,39,0.05,0.3223140495867769,0.3173076923076923,0.6776859504132231,0.6826923076923077,0.27610837438423647,0.2120689655172414
random,random_n30_p04.json,30,16,0.05,0.30833333333333335,0.31481481481481477,0.6916666666666667,0.6851851851851852,0.27364532019704435,0.21502463054187193
random,random_n30_p03.json,30,5,0.05,0.33009708737864074,0.3109756097560976,0.6699029126213593,0.6890243902439024,0.21354679802955664,0.14113300492610836
random,random_n30_p04.json,30,26,0.05,0.31854838709677424,0.31081081081081086,0.6814516129032258,0.6891891891891891,0.28497536945812807,0.23177339901477834
random,random_n30_p04.json,30,42,0.05,0.32421875,0.31081081081081086,0.67578125,0.6891891891891891,0.29630541871921184,0.23201970443349754
random,random_n30_p04.json,30,13,0.05,0.31999999999999995,0.30841121495327106,0.68,0.6915887850467289,0.287192118226601,0.21674876847290642
random,random_n30_p02.json,30,42,0.05,0.32191780821917804,0.3070175438596491,0.678082191780822,0.6929824561403509,0.13226600985221676,0.08300492610837439
random,random_n30_p03.json,30,29,0.05,0.30319148936170215,0.30487804878048785,0.6968085106382979,0.6951219512195121,0.18694581280788178,0.14261083743842365
random,random_n30_p04.json,30,29,0.05,0.303030303030303,0.3041666666666667,0.696969696969697,0.6958333333333333,0.31305418719211825,0.2613300492610837
random,random_n30_p04.json,30,3,0.05,0.3134920634920635,0.3035714285714286,0.6865079365079365,0.6964285714285714,0.29285714285714287,0.23669950738916257
random,random_n30_p05.json,30,39,0.05,0.303921568627451,0.3029197080291969,0.696078431372549,0.6970802919708031,0.37364532019704433,0.3
random,random_n30_p03.json,30,47,0.05,0.30000000000000004,0.3026315789473685,0.7,0.6973684210526315,0.18645320197044335,0.1357142857142857
random,random_n30_p03.json,30,31,0.05,0.3052631578947368,0.3026315789473685,0.6947368421052632,0.6973684210526315,0.1958128078817734,0.12635467980295567
random,random_n30_p03.json,30,12,0.05,0.319047619047619,0.3023255813953488,0.680952380952381,0.6976744186046512,0.21527093596059113,0.15147783251231528
random,random_n30_p04.json,30,28,0.05,0.3201754385964912,0.30208333333333337,0.6798245614035088,0.6979166666666666,0.24630541871921183,0.1874384236453202
random,random_n30_p04.json,30,41,0.05,0.30180180180180183,0.301980198019802,0.6981981981981982,0.698019801980198,0.2440886699507389,0.20123152709359607
random,random_n30_p04.json,30,15,0.05,0.3205128205128205,0.301980198019802,0.6794871794871795,0.698019801980198,0.25492610837438423,0.20320197044334976
random,random_n30_p03.json,30,39,0.05,0.31868131868131866,0.3013698630136986,0.6813186813186813,0.6986301369863014,0.18571428571428572,0.1288177339901478
random,random_n30_p03.json,30,9,0.05,0.32065217391304346,0.3012820512820513,0.6793478260869565,0.6987179487179487,0.17783251231527095,0.13768472906403942
random,random_n30_p04.json,30,26,0.15,0.31854838709677424,0.30113636363636365,0.6814516129032258,0.6988636363636364,0.28497536945812807,0.14753694581280788
random,random_n30_p04.json,30,48,0.05,0.30327868852459017,0.30092592592592593,0.6967213114754098,0.6990740740740741,0.28251231527093595,0.21995073891625616
random,random_n30_p04.json,30,9,0.05,0.3099173553719008,0.30092592592592593,0.6900826446280992,0.6990740740740741,0.27586206896551724,0.2248768472906404
random,random_n30_p04.json,30,40,0.05,0.3065693430656934,0.30081300813008127,0.6934306569343066,0.6991869918699187,0.33226600985221677,0.27413793103448275
random,random_n30_p04.json,30,24,0.05,0.3023255813953488,0.30000000000000004,0.6976744186046512,0.7,0.2982758620689655,0.24064039408866994
random,random_n30_p05.json,30,49,0.05,0.29655172413793107,0.30000000000000004,0.7034482758620689,0.7,0.358128078817734,0.2899014778325123
random,random_n30_p02.json,30,28,0.05,0.27586206896551724,0.30000000000000004,0.7241379310344828,0.7,0.08866995073891626,0.054187192118226604
random,random_n30_p04.json,30,2,0.05,0.3015267175572519,0.2991452991452992,0.6984732824427481,0.7008547008547008,0.3041871921182266,0.2416256157635468
