graph_family,p_delete_num,runs,avg_complete_ilp_for_lp,avg_complete_lp_cost,avg_complete_lp_ratio,avg_complete_lp_gap,avg_edge_ilp_cost,avg_edge_lp_cost,avg_edge_lp_ratio,avg_edge_lp_gap
clique,0.05,895.0,46.00446927374302,44.8608938547486,0.9969788637184277,0.0030211362815722132,43.712849162011175,42.61703910614525,0.9970667203372976,0.0029332796627024823
clique,0.15,895.0,46.00446927374302,44.8608938547486,0.9969788637184277,0.0030211362815722132,38.67821229050279,37.72268156424581,0.9969989590807029,0.0030010409192970646
clique,0.25,895.0,46.00446927374302,44.8608938547486,0.9969788637184277,0.0030211362815722132,34.134078212290504,33.30224394785847,0.9962178661809964,0.0037821338190035044
clique,0.4,895.0,46.00446927374302,44.8608938547486,0.9969788637184277,0.0030211362815722132,27.075977653631284,26.37615057196063,0.994967459124343,0.005032540875656944
facebook,0.05,4.0,323.0,432.0000000000023,0.9365441999709717,0.0634558000290284,308.6666666666667,412.25000000000136,0.9302385948515203,0.06976140514847962
facebook,0.15,4.0,323.0,432.0000000000023,0.9365441999709717,0.0634558000290284,273.0,369.7499999999993,0.9348198034219134,0.0651801965780866
facebook,0.25,4.0,323.0,432.0000000000023,0.9365441999709717,0.0634558000290284,240.33333333333334,327.0,0.9449095953997056,0.05509040460029435
facebook,0.4,4.0,323.0,432.0000000000023,0.9365441999709717,0.0634558000290284,185.0,263.0,0.9733544256368369,0.02664557436316306
random,0.05,2100.0,45.16952380952381,38.115833333333335,0.8909630903256237,0.10903690967437635,40.857619047619046,34.81879365079365,0.8971351350437776,0.10286486495622241
random,0.15,2100.0,45.16952380952381,38.115833333333335,0.8909630903256237,0.10903690967437635,31.743333333333332,27.685364591573062,0.9173533911108792,0.08264660888912093
random,0.25,2100.0,45.16952380952381,38.115833333333335,0.8909630903256237,0.10903690967437635,23.196666666666665,20.648564186957326,0.9299735866309717,0.07002641336902823
random,0.4,2100.0,45.16952380952381,38.115833333333335,0.8909630903256237,0.10903690967437635,12.661904761904761,11.693713829597533,0.9482577284832523,0.05174227151674772
