graph_family,n,p_delete_num,runs,avg_complete_lp_ratio,avg_edge_lp_ratio,avg_complete_lp_gap,avg_edge_lp_gap,avg_complete_ilp_cost,avg_edge_ilp_cost
clique,10,0.05,150.0,0.9968452380952382,0.9980753968253968,0.0031547619047619054,0.0019246031746031752,3.9133333333333336,3.6733333333333333
clique,10,0.15,150.0,0.9968452380952382,0.9981783317353787,0.0031547619047619054,0.0018216682646212843,3.9133333333333336,3.2266666666666666
clique,10,0.25,150.0,0.9968452380952382,0.9945382882882883,0.0031547619047619054,0.0054617117117117114,3.9133333333333336,2.8
clique,10,0.4,150.0,0.9968452380952382,0.9921679197994986,0.0031547619047619054,0.007832080200501253,3.9133333333333336,1.8533333333333333
clique,15,0.05,150.0,0.9988080808080807,0.9981736659310187,0.0011919191919191915,0.001826334068981128,9.486666666666666,9.026666666666667
clique,15,0.15,150.0,0.9988080808080807,0.9975977633477633,0.0011919191919191915,0.0024022366522366534,9.486666666666666,7.92
clique,15,0.25,150.0,0.9988080808080807,0.9970918109668109,0.0011919191919191915,0.002908189033189026,9.486666666666666,6.9
clique,15,0.4,150.0,0.9988080808080807,0.996190075356742,0.0011919191919191915,0.003809924643257988,9.486666666666666,5.226666666666667
clique,20,0.05,150.0,0.9998611111111112,0.9998611111111112,0.00013888888888888913,0.00013888888888888913,17.573333333333334,16.64666666666667
clique,20,0.15,150.0,0.9998611111111112,0.9996491228070176,0.00013888888888888913,0.00035087719298245573,17.573333333333334,14.46
clique,20,0.25,150.0,0.9998611111111112,0.99898605006105,0.00013888888888888913,0.0010139499389499333,17.573333333333334,12.766666666666667
clique,20,0.4,150.0,0.9998611111111112,0.9958971953971953,0.00013888888888888913,0.0041028046028045995,17.573333333333334,9.853333333333333
clique,25,0.05,200.0,1.0,1.0,0.0,0.0,28.885,27.395
clique,25,0.15,200.0,1.0,1.0,0.0,0.0,28.885,24.225
clique,25,0.25,200.0,1.0,0.9998913043478261,0.0,0.00010869565217391297,28.885,21.32
clique,25,0.4,200.0,1.0,0.9994200336700336,0.0,0.0005799663299663322,28.885,16.795
clique,30,0.05,200.0,1.0,1.0,0.0,0.0,42.115,39.89
clique,30,0.15,200.0,1.0,1.0,0.0,0.0,42.115,35.215
clique,30,0.25,200.0,1.0,1.0,0.0,0.0,42.115,31.165
clique,30,0.4,200.0,1.0,0.9997019635343619,0.0,0.0002980364656381479,42.115,24.695
clique,100,0.05,45.0,0.9548648561295192,0.9546264138167169,0.04513514387048073,0.045373586183283174,496.1777777777778,472.53333333333336
clique,100,0.15,45.0,0.9548648561295192,0.9555881125857747,0.04513514387048073,0.04441188741422529,496.1777777777778,419.73333333333335
clique,100,0.25,45.0,0.9548648561295192,0.9564655068715295,0.04513514387048073,0.043534493128470436,496.1777777777778,370.73333333333335
clique,100,0.4,45.0,0.9548648561295192,0.95523568275267,0.04513514387048073,0.044764317247329925,496.1777777777778,297.6666666666667
facebook,58,0.05,1.0,0.9133333333333332,0.8918918918918919,0.08666666666666678,0.10810810810810811,75.0,74.0
facebook,58,0.15,1.0,0.9133333333333332,0.9029850746268656,0.08666666666666678,0.09701492537313439,75.0,67.0
facebook,58,0.25,1.0,0.9133333333333332,0.9310344827586208,0.08666666666666678,0.06896551724137923,75.0,58.0
facebook,58,0.4,1.0,0.9133333333333332,0.9864864864864896,0.08666666666666678,0.013513513513510378,75.0,37.0
facebook,64,0.05,1.0,0.9690721649484536,0.9680851063829788,0.030927835051546393,0.031914893617021156,97.0,94.0
facebook,64,0.15,1.0,0.9690721649484536,0.9634146341463414,0.030927835051546393,0.03658536585365857,97.0,82.0
facebook,64,0.25,1.0,0.9690721649484536,0.9722222222222222,0.030927835051546393,0.02777777777777779,97.0,72.0
facebook,64,0.4,1.0,0.9690721649484536,0.9905660377358492,0.030927835051546393,0.00943396226415083,97.0,53.0
facebook,155,0.05,1.0,0.927227101631128,0.9307387862796904,0.07277289836887202,0.06926121372030958,797.0,758.0
facebook,155,0.15,1.0,0.927227101631128,0.9380597014925331,0.07277289836887202,0.06194029850746685,797.0,670.0
facebook,155,0.25,1.0,0.927227101631128,0.931472081218274,0.07277289836887202,0.06852791878172604,797.0,591.0
facebook,155,0.4,1.0,0.927227101631128,0.943010752688172,0.07277289836887202,0.05698924731182797,797.0,465.0
facebook,170,0.05,1.0,,,,,,
facebook,170,0.15,1.0,,,,,,
facebook,170,0.25,1.0,,,,,,
facebook,170,0.4,1.0,,,,,,
random,5,0.05,350.0,0.9876543209876545,0.9901234567901236,0.012345679012345678,0.009876543209876543,1.5085714285714287,1.282857142857143
random,5,0.15,350.0,0.9876543209876545,0.9952153110047847,0.012345679012345678,0.004784688995215311,1.5085714285714287,0.8514285714285714
random,5,0.25,350.0,0.9876543209876545,0.9966666666666667,0.012345679012345678,0.0033333333333333327,1.5085714285714287,0.5628571428571428
random,5,0.4,350.0,0.9876543209876545,1.0,0.012345679012345678,0.0,1.5085714285714287,0.24857142857142858
random,10,0.05,350.0,0.9601047583369011,0.9663470689363547,0.0398952416630988,0.03365293106364535,9.12,8.09142857142857
random,10,0.15,350.0,0.9601047583369011,0.9799427249898948,0.0398952416630988,0.020057275010105197,9.12,6.02
random,10,0.25,350.0,0.9601047583369011,0.9812120352698711,0.0398952416630988,0.018787964730128906,9.12,4.265714285714286
random,10,0.4,350.0,0.9601047583369011,0.9837283837616285,0.0398952416630988,0.016271616238371554,9.12,2.1885714285714286
random,15,0.05,350.0,0.9020865455463276,0.9150663735417576,0.09791345445367242,0.08493362645824243,24.057142857142857,21.665714285714287
random,15,0.15,350.0,0.9020865455463276,0.9404666923719802,0.09791345445367242,0.05953330762801978,24.057142857142857,16.7
random,15,0.25,350.0,0.9020865455463276,0.9556654338239058,0.09791345445367242,0.04433456617609423,24.057142857142857,12.017142857142858
random,15,0.4,350.0,0.9020865455463276,0.9693294719175765,0.09791345445367242,0.03067052808242346,24.057142857142857,6.394285714285714
random,20,0.05,350.0,0.8649921320308587,0.8752479418983027,0.13500786796914124,0.1247520581016973,46.18571428571428,41.74
random,20,0.15,350.0,0.8649921320308587,0.9066005817461152,0.13500786796914124,0.09339941825388474,46.18571428571428,32.52857142857143
random,20,0.25,350.0,0.8649921320308587,0.9252471733494338,0.13500786796914124,0.07475282665056623,46.18571428571428,23.65142857142857
random,20,0.4,350.0,0.8649921320308587,0.9494675426392599,0.13500786796914124,0.05053245736074001,46.18571428571428,12.748571428571429
random,25,0.05,350.0,0.8333374030445366,0.8413119346530689,0.1666625969554634,0.15868806534693128,76.38,69.11142857142858
random,25,0.15,350.0,0.8333374030445366,0.8727829337858525,0.1666625969554634,0.1272170662141474,76.38,53.86571428571428
random,25,0.25,350.0,0.8333374030445366,0.8948337864552082,0.1666625969554634,0.10516621354479175,76.38,39.44857142857143
random,25,0.4,350.0,0.8333374030445366,0.9257410993746196,0.1666625969554634,0.0742589006253805,76.38,21.48
random,30,0.05,350.0,0.8122451969362853,0.8159685079850804,0.18775480306371473,0.18403149201491967,113.76571428571428,103.25428571428571
random,30,0.15,350.0,0.8122451969362853,0.8468314444592625,0.18775480306371473,0.15316855554073755,113.76571428571428,80.49428571428571
random,30,0.25,350.0,0.8122451969362853,0.8660403179368541,0.18775480306371473,0.13395968206314596,113.76571428571428,59.23428571428571
random,30,0.4,350.0,0.8122451969362853,0.895440326940275,0.18775480306371473,0.10455967305972516,113.76571428571428,32.91142857142857
