graph_family,p_delete_num,runs,avg_complete_pivot_ratio,avg_edge_pivot_ratio,avg_complete_lp_ratio,avg_edge_lp_ratio,avg_complete_bad_triangle_density,avg_edge_bad_triangle_density,avg_normalized_new_over_complete_cost
clique,0.05,895.0,2.0050256741604207,2.1096241492796812,0.9969788637184277,0.9970667203372976,0.1374144442637368,0.11851292493982168,0.997365344899907
clique,0.15,895.0,2.0050256741604207,2.3187196922343984,0.9969788637184277,0.9969989590807029,0.1374144442637368,0.08400090888704459,0.9788116571433433
clique,0.25,895.0,2.0050256741604207,2.472450049075539,0.9969788637184277,0.9962178661809964,0.1374144442637368,0.05817025726933784,0.974844963535024
clique,0.4,895.0,2.0050256741604207,2.6424696987799052,0.9969788637184277,0.994967459124343,0.1374144442637368,0.029821944923752633,0.9328168374278265
facebook,0.05,4.0,1.5604063060072064,1.5419820426725497,0.9365441999709717,0.9302385948515203,0.027325260027901394,0.024025314590697545,1.0191087251935906
facebook,0.15,4.0,1.5604063060072064,1.6610071593253244,0.9365441999709717,0.9348198034219134,0.027325260027901394,0.017563498521383246,1.006294287683933
facebook,0.25,4.0,1.5604063060072064,1.717989024382338,0.9365441999709717,0.9449095953997056,0.027325260027901394,0.012476289828433674,0.9994497214892061
facebook,0.4,4.0,1.5604063060072064,1.77229578939865,0.9365441999709717,0.9733544256368369,0.027325260027901394,0.006177930244876802,0.9021740748180833
random,0.05,2100.0,1.4426188022840554,1.46479225311769,0.8909630903256237,0.8971351350437776,0.31282655344777965,0.25508920981273114,0.9210765044414523
random,0.15,2100.0,1.4426188022840554,1.4898978567971288,0.8909630903256237,0.9173533911108792,0.31282655344777965,0.1572164015192822,0.7403661770586454
random,0.25,2100.0,1.4426188022840554,1.511329214436369,0.8909630903256237,0.9299735866309717,0.31282655344777965,0.09136089199196705,0.5870749735873926
random,0.4,2100.0,1.4426188022840554,1.554920976600958,0.8909630903256237,0.9482577284832523,0.31282655344777965,0.03350584099698753,0.40609337684182667
